filename,ext,size_mb,pages,text_chars_sampled,text_coverage,scan_suspected,score_ger,score_rubric,score_method,score_unit,category,hints,path
Lerntheorien_kompakt_DLL2.pdf,pdf,4.25,8,321,low,False,0,0,0,0,unknown,no_keywords_hit,/home/cojones/dev/daz_kernel/docs/00_inbox_raw/teams_download/2026-01-15/Lerntheorien_kompakt_DLL2.pdf
Lernverständnis_Handout_2025.pdf,pdf,0.44,10,2678,medium,False,0,0,0,1,exemplar_units,,/home/cojones/dev/daz_kernel/docs/00_inbox_raw/teams_download/2026-01-15/Lernverständnis_Handout_2025.pdf
Lernzieltaxonomie_nach_Bloom.pdf,pdf,0.34,5,3341,high,False,1,3,2,2,rubrics,,/home/cojones/dev/daz_kernel/docs/00_inbox_raw/teams_download/2026-01-15/Lernzieltaxonomie_nach_Bloom.pdf
Mündliche_Kommunikationskompetenz_aufbauen.pdf,pdf,0.38,11,2784,medium,False,2,1,0,1,ger_norms,,/home/cojones/dev/daz_kernel/docs/00_inbox_raw/teams_download/2026-01-15/Mündliche_Kommunikationskompetenz_aufbauen.pdf
Selbsteinschätzung_Lernende.pdf,pdf,0.65,5,414,low,False,1,1,1,1,ger_norms,,/home/cojones/dev/daz_kernel/docs/00_inbox_raw/teams_download/2026-01-15/Selbsteinschätzung_Lernende.pdf
Self_assessment_Lektüre.pdf,pdf,0.88,2,0,none,True,0,0,0,0,unknown,scan_suspected(textlayer=0);no_keywords_hit,/home/cojones/dev/daz_kernel/docs/00_inbox_raw/teams_download/2026-01-15/Self_assessment_Lektüre.pdf
Textverstehen_fördern.pdf,pdf,0.74,4,689,low,False,0,0,0,1,exemplar_units,,/home/cojones/dev/daz_kernel/docs/00_inbox_raw/teams_download/2026-01-15/Textverstehen_fördern.pdf
Vertiefung_Modul_Bildungsbiografie.pdf,pdf,0.17,3,2972,medium,False,1,2,1,1,rubrics,,/home/cojones/dev/daz_kernel/docs/00_inbox_raw/teams_download/2026-01-15/Vertiefung_Modul_Bildungsbiografie.pdf
Zusatzlektüre_Evaluation.pdf,pdf,0.45,4,311,low,False,0,1,1,0,rubrics,,/home/cojones/dev/daz_kernel/docs/00_inbox_raw/teams_download/2026-01-15/Zusatzlektüre_Evaluation.pdf
fideDE_Rahmencurriculum.pdf.pdf,pdf,1.49,76,3124,high,False,2,1,2,2,ger_norms,,/home/cojones/dev/daz_kernel/docs/00_inbox_raw/teams_download/2026-01-15/fideDE_Rahmencurriculum.pdf.pdf
Überfachliche_Kompetenzen_Lehrplan21.pdf,pdf,0.53,6,358,low,False,0,0,0,0,unknown,no_keywords_hit,/home/cojones/dev/daz_kernel/docs/00_inbox_raw/teams_download/2026-01-15/Überfachliche_Kompetenzen_Lehrplan21.pdf
